"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","LARGE PLATTER for TWO",116.00948106244877,117.23453880630399,179.99,25.0959944289963,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH PRAWN ",8.343645888477862,8.61878888797253,0.0,0,
"Springbok Superspar","Sushi","SUPER PLATTER",75.41677072197878,77.66193759785526,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",42.90057119188805,43.1812170513726,119.99,58.61455153839613,
"Springbok Superspar","Sushi","COMBO  1 PRAWN",41.12990183476369,42.25248527270193,64.99,25.234100532993963,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH (CRABSTICK)",0.9064319421548991,0.9368639993758504,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",18.658717355834447,14.721471099681878,84.99,80.08037208538163,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",14.99495942050939,12.43036700238106,45.0,68.23350654947062,
"Springbok Superspar","Sushi","RECIPE BEAN CURD (PRAWN)",13.743093641149693,14.040101667052824,0.0,0,
"Springbok Superspar","Sushi","COMBO  2  PRAWN",43.1812170513726,43.78711342421499,119.99,58.03385245616531,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH  (SALMON)",2.496899858890252,2.558772171894575,0.0,0,
"Springbok Superspar","Sushi","COMBO  5",32.20641955606756,32.4588585931252,99.99,62.668579475853605,
"Springbok Superspar","Sushi","COMBO  6",42.063305093900574,42.315744130958215,99.99,51.33202745214327,
"Springbok Superspar","Sushi","COMBO  9",41.28493603955748,41.53737507661513,109.99,56.57061429392909,
"Springbok Superspar","Sushi","COMBO 11",58.6827380593264,58.93517709638403,184.99,63.36263924490966,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",104.07446477904479,104.32690381610242,200.0,40.01203030574111,
"Springbok Superspar","Sushi","LARGE PLATTER for TWO",117.23453880630399,117.48697784336163,179.99,24.934704972573005,
"Springbok Superspar","Sushi","COMBO  3 Salmon",37.64670284405295,37.89914188111059,84.99,48.71865729700298,
"Springbok Superspar","Sushi","COMBO  2 SALMON",22.701346082256556,20.099795640959332,69.99,66.974189188308,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (SALMON)",1.4934149485043435,1.5300501275822496,0.0,0,
"Springbok Superspar","Sushi","COMBO  5",32.4588585931252,32.608330123763054,99.99,62.49667002467496,
"Springbok Superspar","Sushi","COMBO  7",39.21126779901609,39.36073932965395,99.99,54.73062283318127,
"Springbok Superspar","Sushi","COMBO 11",58.93517709638403,59.234120157659746,184.99,63.17679972900767,
"Springbok Superspar","Sushi","COMBO  4 Salmon",57.872167381947605,58.021638912585466,109.99,39.33549890947061,
"Springbok Superspar","Sushi","COMBO 12 Salmon",69.71639887603979,70.01534193731551,199.99,59.739165344310805,
"Springbok Superspar","Sushi","COMBO  3 Salmon",37.89914188111059,38.04861341174845,84.99,48.516407314377325,
"Springbok Superspar","Sushi","COMBO  2 SALMON",20.099795640959332,20.249267171597182,69.99,66.72859373148056,
"Springbok Superspar","Sushi","RECIPE MAKI AVO",0.4512550465028784,0.46446330968140614,0.0,0,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",29.52401869947179,29.631798127008576,99.99,65.92002415635577,
"Springbok Superspar","Sushi","COMBO 11",59.234120157659746,59.34189958519652,184.99,63.109798084774305,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.721471099681878,14.748415956566074,84.99,80.04391298970351,
"Springbok Superspar","Sushi","COMBO  2 SALMON",20.249267171597182,20.303156885365578,69.99,66.64004798089668,
"Springbok Superspar","Sushi","COMBO  1 AVO",13.659121957826173,10.356490110751091,45.0,73.53341416141387,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (CRABSTIK)",0.737782832367459,0.7609048135117485,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.748415956566074,14.795584798100425,84.99,79.98008881301861,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",12.43036700238106,12.52470468544976,45.0,67.99242135940617,
"Springbok Superspar","Sushi","RECIPE MAKI CRABSTICK",0.9490334139383227,0.975264896781104,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.795584798100425,14.849097023099699,84.99,79.90768140185355,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",12.52470468544976,12.631729135448309,45.0,67.7189144316321,
